quinto,クイント,KU I N TO
﻿week,ウィーク,U i - KU
﻿weekday,ウィークデー,U i - KU DE -
﻿weekly,ウィークリー,U i - KU RI -
﻿Vienna Appeal,ウィーンアピール,U i - N A PI - RU
﻿wick,ウィク,U i KU
﻿widget,ウィジェット,U i ZI e tsu TO
﻿whisky,ウィスキー,U i SU KI -
﻿wings,ウィングス,U i N GU SU
﻿winter,ウィンター,U i N TA -
﻿window,ウィンドウ,U i N DO U
﻿wind,ウインド,U I N DO
﻿weekend carpenter,ウイークエンドカーペンター,U I - KU E N DO KA - PE N TA -
﻿weekend painter,ウイークエンドペインター,U I - KU E N DO PE I N TA -
﻿weak point,ウィークポイント,U i - KU PO I N TO
﻿wizard,ウイザード,U I ZA - DO
﻿whisky sour,ウイスキーサウー,U I SU KI - SA U -
﻿whisky bonbon,ウイスキーボンボン,U I SU KI - BO N BO N
﻿wig,ウイッグ,U I tsu GU
﻿wit,ウイット,U I tsu TO
﻿widow,ウイドー,U I DO -
﻿winner,ウイナー,U I NA -
﻿winning ball,ウイニングボール,U I NI N GU BO - RU
﻿wheelie,ウィリー,U i RI -
﻿wink,ウインク,U I N KU
﻿wing,ウイング,U I N GU
﻿wing collar,ウイングカラー,U I N GU KA RA -
﻿Windsor char,ウインザーチェア,U I N ZA - TI e A
﻿winter sports,ウインタースポーツ,U I N TA - SU PO - TU
﻿winter resort,ウインターリゾート,U I N TA - RI ZO - TO
﻿winch,ウインチ,U I N TI
﻿window display,ウインドーディスプレー,U I N DO - DE i SU PU RE -
﻿window dressing,ウインドードレッシング,U I N DO - DO RE tsu SI N GU
﻿windsurfer,ウインドサーファー,U I N DO SA - HU a -
﻿windsurfing,ウィンドサーフィン,U i N DO SA - HU i N
﻿windfall,ウインドフォール,U I N DO HU o - RU
﻿windbreaker,ウインドブレーカー,U I N DO BU RE - KA -
﻿Wimbledon,ウインブルドン,U I N BU RU DO N
﻿waiter,ウェイター,U e I TA -
﻿wait,ウェイト,U e I TO
﻿waitress,ウェイトレス,U e I TO RE SU
﻿waiver,ウェーバー,U e - BA -
﻿Wales,ウェールズ,U e - RU ZU
﻿way,ウェイ,U e I
﻿West Virginia,ウェストバージニア,U e SU TO BA - ZI NI A
﻿wedding,ウエディング,U E DE i N GU
﻿web,ウェブ,U e BU
﻿waiting system,ウエーティングシステム,U E - TE i N GU SI SU TE MU
﻿waiting room,ウエーティングルーム,U E - TE i N GU RU - MU
﻿warehouse,ウエアハウス,U E A HA U SU
﻿weather,ウエザー,U E ZA -
﻿Western,ウエスタン,U E SU TA N
﻿Western music,ウエスタンミュージック,U E SU TA N MI yu - ZI tsu KU
﻿Western league,ウエスタンリーグ,U E SU TA N RI - GU
﻿Westinghouse,ウエスティングハウス,U E SU TE i N GU HA U SU
﻿waist,ウエスト,U E SU TO
﻿West End,ウエストエンド,U E SU TO E N DO
﻿West Coast,ウエストコースト,U E SU TO KO - SU TO
﻿waistcoat,ウエストコート,U E SU TO KO - TO
﻿West Side,ウエストサイド,U E SU TO SA I DO
﻿waist nipper,ウエストニッパー,U E SU TO NI tsu PA -
﻿West Point,ウエストポイント,U E SU TO PO I N TO
﻿waistline,ウエストライン,U E SU TO RA I N
﻿wedge sole,ウエッジソール,U E tsu ZI SO - RU
﻿wedding,ウエッディング,U E tsu DE i N GU
﻿wet,ウエット,U E tsu TO
﻿wet cut,ウエットカット,U E tsu TO KA tsu TO
﻿wet core,ウエットコア,U E tsu TO KO A
﻿wet suit,ウエットスーツ,U E tsu TO SU - TU
﻿wedding cake,ウェディングケーキ,U e DE i N GU KE - KI
﻿wedding dress,ウェディングドレス,U e DE i N GU DO RE SU
﻿wedding veil,ウエディングベール,U E DE i N GU BE - RU
﻿wedding bell,ウエディングベル,U E DE i N GU BE RU
﻿wedding march,ウエディングマーチ,U E DE i N GU MA - TI
﻿wedding ring,ウエディングリング,U E DE i N GU RI N GU
﻿wafers,ウエハース,U E HA - SU
﻿welcome,ウェルカム,U e RU KA MU
﻿walking shoes,ウォーキングシューズ,U o - KI N GU SI yu - ZU
﻿walking dictionary,ウォーキングディクショナリー,U o - KI N GU DE i KU SI yo NA RI -
﻿Walkman,ウォークマン,U o - KU MA N
﻿walk rally,ウォークラリー,U o - KU RA RI -
﻿war game,ウォーゲーム,U o - GE - MU
﻿watercolor,ウォーターカラー,U o - TA - KA RA -
﻿watercooler,ウォータークーラー,U o - TA - KU - RA -
﻿water closet,ウォータークロゼット,U o - TA - KU RO ZE tsu TO
﻿water chute,ウォーターシュート,U o - TA - SI yu - TO
﻿water hazard,ウォーターハザード,U o - TA - HA ZA - DO
﻿waterfall,ウォーターフォール,U o - TA - HU o - RU
﻿waterfront,ウォーターフロント,U o - TA - HU RO N TO
﻿waterproof,ウォータープルーフ,U o - TA - PU RU - HU
﻿waterfall,ウォータフォール,U o - TA HU o - RU
﻿warming,ウォーミング,U o - MI N GU
﻿worm,ウォーム,U o - MU
﻿worm gear,ウォームギア,U o - MU GI A
﻿walnut,ウォールナット,U o - RU NA tsu TO
﻿Vostok,ウォストーク,U o SU TO - KU
﻿vodka,ウォッカ,U o tsu KA
﻿washer,ワッシャー,WA tsu SI ya -
﻿washable,ウォッシャブル,U o tsu SI ya BU RU
﻿watchdog,ウォッチドッグ,U o tsu TI DO tsu GU
﻿watchman,ウォッチマン,U o tsu TI MA N
﻿wanted,ウォンテット,U o N TE tsu TO
﻿watching,ウォッチング,U o tsu TI N GU
﻿wood,ウッド,U tsu DO
﻿woodcraft,ウッドクラフト,U tsu DO KU RA HU TO
﻿woodpecker,ウッドペッカー,U tsu DO PE tsu KA -
﻿umlaut,ウムラウト,U MU RA U TO
﻿ultra,ウルトラ,U RU TO RA
﻿acre,エーカー,E - KA -
﻿age,エージ,E - ZI
﻿agency,エージェンシー,E - ZI e N SI -
﻿agent,エージェント,E - ZI e N TO
﻿age shooter,エージシューター,E - ZI SI yu - TA -
﻿aging,エージング,E - ZI N GU
﻿ace,エース,E - SU
﻿ether,エーテル,E - TE RU
﻿April fool,エイプリルフール,E I PU RI RU HU - RU
﻿yell,エール,E - RU
﻿air,エア,E A
﻿airway,エアウェー,E A U e -
﻿air cargo,エアカーゴ,E A KA - GO
﻿air curtain,エアカーテン,E A KA - TE N
﻿air gun,エアガン,E A GA N
﻿air cushion,エアクッション,E A KU tsu SI yo N
﻿air conditioner,エアコンディショナー,E A KO N DE i SI yo NA -
﻿air sick,エアシック,E A SI tsu KU
﻿airsickness,エアシックネス,E A SI tsu KU NE SU
﻿airsick bag,エアシックバッグ,E A SI tsu KU BA tsu GU
﻿air shoot,エアシュート,E A SI yu - TO
﻿Edam cheese,エアダムチーズ,E A DA MU TI - ZU
﻿air check,エアチェック,E A TI e tsu KU
﻿air dome,エアドーム,E A DO - MU
﻿air door,エアドア,E A DO A
﻿airbus,エアバス,E A BA SU
﻿air bag,エアバッグ,E A BA tsu GU
﻿air pad,エアパッド,E A PA tsu DO
﻿air force,エアフォース,E A HU o - SU
﻿air pageant,エアページェント,E A PE - ZI e N TO
﻿air hostess,エアホステス,E A HO SU TE SU
﻿airborne,エアボーン,E A BO - N
﻿airport,エアポート,E A PO - TO
﻿airport tax,エアポートタックス,E A PO - TO TA tsu KU SU
﻿air pocket,エアポケット,E A PO KE tsu TO
﻿air pot,エアポット,E A PO tsu TO
﻿air right,エアライト,E A RA I TO
﻿airline,エアライン,E A RA I N
﻿aerogram,エアログラム,E A RO GU RA MU
﻿aerodynamics,エアロダイナミックス,E A RO DA I NA MI tsu KU SU
﻿aerobics,エアロビクス,E A RO BI KU SU
﻿AIDS virus,エイズウイルス,E I ZU U I RU SU
﻿eight,エイト,E I TO
﻿eight beat,エイトビート,E I TO BI - TO
﻿alias,エイリアス,E I RI A SU
﻿alien,エイリアン,E I RI A N
﻿eonism,エオニズム,E O NI ZU MU
﻿exciting,エキサイティング,E KI SA I TE i N GU
﻿exciting game,エキサイティングゲーム,E KI SA I TE i N GU GE - MU
﻿excite,エキサイト,E KI SA I TO
﻿exercise,エキササイズ,E KI SA SA I ZU
﻿exercise walking,エキササイズウォーキング,E KI SA SA I ZU U o - KI N GU
﻿extra,エキストラ,E KI SU TO RA
﻿extra inning,エキストライニング,E KI SU TO RA I NI N GU
﻿expert,エキスパート,E KI SU PA - TO
﻿expert system,エキスパートシステム,E KI SU PA - TO SI SU TE MU
﻿expander,エキスパンダー,E KI SU PA N DA -
﻿expression,エキスプレッション,E KI SU PU RE tsu SI yo N
﻿expo,エキスポ,E KI SU PO
﻿eccentric,エキセントリック,E KI SE N TO RI tsu KU
﻿exotic,エキゾチック,E KI ZO TI tsu KU
﻿Ecuador,エクアドル,E KU A DO RU
﻿equitable,エクイタブル,E KU I TA BU RU
﻿exercise,エクササイズ,E KU SA SA I ZU
﻿excursion,エクスカーション,E KU SU KA - SI yo N
﻿excursion fare,エクスカーションフェア,E KU SU KA - SI yo N HU e A
﻿excuse me,エクスキューズミー,E KU SU KI yu - ZU MI -
﻿external,エクスターナル,E KU SU TA - NA RU
﻿ecstasy,エクスタシー,E KU SU TA SI -
﻿exchange,エクスチェンジ,E KU SU TI e N ZI
﻿exchange order,エクスチェンジオーダー,E KU SU TI e N ZI O - DA -
﻿exterior,エクステリア,E KU SU TE RI A
﻿extension,エクステンション,E KU SU TE N SI yo N
﻿expire,エクスパイア,E KU SU PA I A
﻿express,エクスプレス,E KU SU PU RE SU
﻿expressway,エクスプレスウエー,E KU SU PU RE SU U E -
﻿expression,エクスプレッション,E KU SU PU RE tsu SI yo N
﻿explosion,エクスプロージョン,E KU SU PU RO - ZI yo N
﻿explosion shot,エクスプロージョンショット,E KU SU PU RO - ZI yo N SI yo tsu TO
﻿expedition,エクスペディション,E KU SU PE DE i SI yo N
﻿expensive,エクスペンシブ,E KU SU PE N SI BU
﻿expense,エクスペンス,E KU SU PE N SU
﻿export,エクスポート,E KU SU PO - TO
﻿eccentric,エクセントリック,E KU SE N TO RI tsu KU
﻿literature,エクリチュール,E KU RI TI yu - RU
﻿existence,エグジスタンス,E GU ZI SU TA N SU
﻿exit,エグジット,E GU ZI tsu TO
﻿echo,エコー,E KO -
﻿echo back,エコーバック,E KO - BA tsu KU
﻿ecocide,エコサイド,E KO SA I DO
﻿ecosystem,エコシステム,E KO SI SU TE MU
﻿economy,エコノミー,E KO NO MI -
﻿economy class,エコノミークラス,E KO NO MI - KU RA SU
﻿economics,エコノミックス,E KO NO MI tsu KU SU
﻿ego,エゴ,E GO
﻿egoism,エゴイズム,E GO I ZU MU
﻿escalation,エスカレーション,E SU KA RE - SI yo N
﻿escalator,エスカレーター,E SU KA RE - TA -
﻿escalate,エスカレート,E SU KA RE - TO
﻿escalope,エスカロープ,E SU KA RO - PU
﻿Eskimo,エスキモー,E SU KI MO -
﻿esquire,エスクワイア,E SU KU WA I A
﻿escape,エスケープ,E SU KE - PU
﻿escort,エスコート,E SU KO - TO
﻿S size,エスサイズ,E SU SA I ZU
﻿estate,エステート,E SU TE - TO
﻿esthetician,エステティシャン,E SU TE TE i SI ya N
﻿esthetic,エステティック,E SU TE TE i tsu KU
﻿esterase,エステラーゼ,E SU TE RA - ZE
﻿ester,エステル,E SU TE RU
﻿estrone,エストロン,E SU TO RO N
﻿ethnic,エスニック,E SU NI tsu KU
﻿ethnic group,エスニックグループ,E SU NI tsu KU GU RU - PU
﻿ethnic food,エスニックフード,E SU NI tsu KU HU - DO
﻿ethnic fashion,エスニックファッション,E SU NI tsu KU HU a tsu SI yo N
﻿ethnic look,エスニックルック,E SU NI tsu KU RU tsu KU
﻿ethno,エスノ,E SU NO
﻿ESPer,エスパー,E SU PA -
﻿esprit,エスプリ,E SU PU RI
﻿esprit nouveau,エスプリヌーボー,E SU PU RI NU - BO -
﻿hope,エスポワール,E SU PO WA - RU
﻿eternal,エターナル,E TA - NA RU
﻿eternity,エターニティー,E TA - NI TE i -
﻿ethanol,エタノール,E TA NO - RU
﻿etiquette,エチケット,E TI KE tsu TO
﻿etude,エチュード,E TI yu - DO
﻿ethanol,エチルアルコール,E TI RU A RU KO - RU
﻿eggnog,エッグノッグ,E tsu GU NO tsu GU
﻿edge,エッジ,E tsu ZI
﻿edge ball,エッジボール,E tsu ZI BO - RU
﻿edging,エッジング,E tsu ZI N GU
﻿essay,エッセイ,E tsu SE I
﻿meal,エッセン,E tsu SE N
﻿essential,エッセンシャル,E tsu SE N SI ya RU
﻿essence,エッセンス,E tsu SE N SU
﻿etching,エッチング,E tsu TI N GU
﻿edition,エディション,E DE i SI yo N
﻿editor,エディター,E DE i TA -
﻿edit,エディット,E DE i tsu TO
﻿editing,エディティング,E DE i TE i N GU
﻿edit,エディト,E DE i TO
﻿Oedipus complex,エディプスコンプレックス,E DE i PU SU KO N PU RE tsu KU SU
﻿education,エデュケーション,E DE yu KE - SI yo N
﻿Eden,エデン,E DE N
﻿star,エトワール,E TO WA - RU
﻿energy,エナジー,E NA ZI -
﻿enamel,エナメル,E NA ME RU
﻿enamel paint,エナメルペイント,E NA ME RU PE I N TO
﻿enigma,エニグマ,E NI GU MA
﻿enable,エネーブル,E NE - BU RU
﻿enemy,エネミー,E NE MI -
﻿energy,エネルギー,E NE RU GI -
﻿ever,エバー,E BA -
﻿ever onward,エバーオンワード,E BA - O N WA - DO
﻿evergreen,エバーグリーン,E BA - GU RI - N
﻿Everglaze,エバーグレーズ,E BA - GU RE - ZU
﻿Everpleats,エバープリーツ,E BA - PU RI - TU
﻿Everwhite,エバーホワイト,E BA - HO WA I TO
﻿epicurean,エピキュリアン,E PI KI yu RI A N
﻿epigraph,エピグラフ,E PI GU RA HU
﻿epigram,エピグラム,E PI GU RA MU
﻿epigone,エピゴーネン,E PI GO - NE N
﻿episteme,エピステーメー,E PI SU TE - ME -
﻿episode,エピソード,E PI SO - DO
﻿epitaxy,エピタキシー,E PI TA KI SI -
﻿epitaph,エピタフ,E PI TA HU
﻿epic,エピック,E PI tsu KU
﻿epilogue,エピローグ,E PI RO - GU
﻿effector,エフェクター,E HU e KU TA -
﻿effects,エフェクツ,E HU e KU TU
﻿effective,エフェクティブ,E HU e KU TE i BU
﻿effect,エフェクト,E HU e KU TO
﻿ephedrine,エフェドリン,E HU e DO RI N
﻿apron,エプロン,E PU RO N
﻿apron stage,エプロンステージ,E PU RO N SU TE - ZI
﻿epee,エペ,E PE
﻿ebonite,エボナイト,E BO NA I TO
﻿epoxy,エポキシ,E PO KI SI
﻿epoch,エポック,E PO tsu KU
﻿epaulette,エポレット,E PO RE tsu TO
﻿emergency,エマージェンシー,E MA - ZI e N SI -
﻿emigrant,エミグラント,E MI GU RA N TO
﻿emigration,エミグレーション,E MI GU RE - SI yo N
﻿eminent,エミネント,E MI NE N TO
﻿emulator,エミュレータ,E MI yu RE - TA
﻿emulate,エミュレート,E MI yu RE - TO
﻿M size,エムサイズ,E MU SA I ZU
﻿emulsion,エムルション,E MU RU SI yo N
﻿emerald,エメラルド,E ME RA RU DO
﻿emerald green,エメラルドグリーン,E ME RA RU DO GU RI - N
﻿emery board,エメリーボード,E ME RI - BO - DO
﻿emotion,エモーション,E MO - SI yo N
﻿error,エラー,E RA -
﻿error message,エラーメッセージ,E RA - ME tsu SE - ZI
﻿elite,エリート,E RI - TO
﻿area,エリア,E RI A
﻿area marketing,エリアマーケティング,E RI A MA - KE TE i N GU
﻿ergonomics,エルゴノミックス,E RU GO NO MI tsu KU SU
﻿L size,エルサイズ,E RU SA I ZU
﻿El Nino,エルニーニョ,E RU NI - NI yo
﻿LP record,エルピーレコード,E RU PI - RE KO - DO
﻿elf,エルフ,E RU HU
﻿elbow,エルボー,E RU BO -
﻿Herman,エルマン,E RU MA N
﻿elm,エルム,E RU MU
﻿erection,エレクション,E RE KU SI yo N
﻿erect,エレクト,E RE KU TO
﻿Eros,エロス,E RO SU
﻿erotic,エロチック,E RO TI tsu KU
﻿encounter,エンカウンター,E N KA U N TA -
﻿enclosure,エンクロージャー,E N KU RO - ZI ya -
﻿engage,エンゲージ,E N GE - ZI
﻿encoder,エンコーダ,E N KO - DA
﻿encoding,エンコーディング,E N KO - DE i N GU
﻿encode,エンコード,E N KO - DO
﻿encyclopedia,エンサイクロペディア,E N SA I KU RO PE DE i A
﻿enjoy,エンジョイ,E N ZI yo I
﻿angel,エンジェル,E N ZI e RU
﻿enter,エンター,E N TA -
﻿entertainer,エンターテイナー,E N TA - TE I NA -
﻿enterprise,エンタープライズ,E N TA - PU RA I ZU
﻿endive,エンダイブ,E N DA I BU
﻿entity,エンティティ,E N TE i TE i
﻿ending,エンディング,E N DE i N GU
﻿entrance,エントランス,E N TO RA N SU
﻿entry,エントリー,E N TO RI -
﻿entropy,エントロピー,E N TO RO PI -
﻿end,エンド,E N DO
﻿end curler,エンドカーラー,E N DO KA - RA -
﻿end user,エンドユーザー,E N DO YU - ZA -
﻿end line,エンドライン,E N DO RA I N
﻿endorphin,エンドルフィン,E N DO RU HU i N
﻿endless,エンドレス,E N DO RE SU
﻿endless tape,エンドレステープ,E N DO RE SU TE - PU
﻿enhancement,エンハンスメント,E N HA N SU ME N TO
﻿embassy,エンバシー,E N BA SI -
﻿empire,エンパイア,E N PA I A
﻿Empire Day,エンパイアデー,E N PA I A DE -
﻿empathy,エンパシー,E N PA SI -
﻿emphasize,エンファサイズ,E N HU a SA I ZU
﻿embroidery,エンブロイダリー,E N BU RO I DA RI -
﻿empty,エンプティー,E N PU TE i -
﻿empty nest,エンプティーネスト,E N PU TE i - NE SU TO
﻿empress,エンプレス,E N PU RE SU
﻿emperor,エンペラー,E N PE RA -
﻿emboss,エンボス,E N BO SU
﻿enrich,エンリッチ,E N RI tsu TI
﻿organizer,オーガナイザー,O - GA NA I ZA -
﻿organize,オーガナイズ,O - GA NA I ZU
﻿organization,オーガニゼーション,O - GA NI ZE - SI yo N
﻿organdy,オーガンディー,O - GA N DE i -
﻿oak,オーク,O - KU
﻿auction,オークション,O - KU SI yo N
﻿oaks,オークス,O - KU SU
﻿oceanaut,オーシャノート,O - SI ya NO - TO
﻿ocean,オーシャン,O - SI ya N
﻿ocean race,オーシャンレース,O - SI ya N RE - SU
﻿orgy party,オージーパーティー,O - ZI - PA - TE i -
